DATE,T10Y3M
1989-07-28,-0.28000000000000000000
1989-08-04,-0.14600000000000000000
1989-08-11,-0.15400000000000000000
1989-08-18,-0.04600000000000000000
1989-08-25,-0.02600000000000000000
1989-09-01,0.07800000000000000000
1989-09-08,0.08000000000000000000
1989-09-15,0.27400000000000000000
1989-09-22,0.15400000000000000000
1989-09-29,0.19800000000000000000
1989-10-06,0.15600000000000000000
1989-10-13,0.08250000000000000000
1989-10-20,0.23400000000000000000
1989-10-27,0.04000000000000000000
1989-11-03,-0.12200000000000000000
1989-11-10,-0.08200000000000000000
1989-11-17,-0.06800000000000000000
1989-11-24,-0.02500000000000000000
1989-12-01,-0.03600000000000000000
1989-12-08,-0.02400000000000000000
1989-12-15,-0.08400000000000000000
1989-12-22,-0.06800000000000000000
1989-12-29,-0.00500000000000000000
1990-01-05,0.13750000000000000000
1990-01-12,0.26600000000000000000
1990-01-19,0.26750000000000000000
1990-01-26,0.41800000000000000000
1990-02-02,0.45400000000000000000
1990-02-09,0.41400000000000000000
1990-02-16,0.47000000000000000000
1990-02-23,0.58000000000000000000
1990-03-02,0.48200000000000000000
1990-03-09,0.43200000000000000000
1990-03-16,0.42200000000000000000
1990-03-23,0.34200000000000000000
1990-03-30,0.44000000000000000000
1990-04-06,0.55400000000000000000
1990-04-13,0.56750000000000000000
1990-04-20,0.80000000000000000000
1990-04-27,0.97800000000000000000
1990-05-04,0.89800000000000000000
1990-05-11,0.80800000000000000000
1990-05-18,0.74200000000000000000
1990-05-25,0.68800000000000000000
1990-06-01,0.58000000000000000000
1990-06-08,0.49800000000000000000
1990-06-15,0.48400000000000000000
1990-06-22,0.51200000000000000000
1990-06-29,0.47800000000000000000
1990-07-06,0.46750000000000000000
1990-07-13,0.53800000000000000000
1990-07-20,0.65200000000000000000
1990-07-27,0.69800000000000000000
1990-08-03,0.69600000000000000000
1990-08-10,1.10600000000000000000
1990-08-17,1.01600000000000000000
1990-08-24,1.12600000000000000000
1990-08-31,1.16800000000000000000
1990-09-07,1.22750000000000000000
1990-09-14,1.2100000000000000
1990-09-21,1.2980000000000000
